Date,Open,High,Low,Close,Adj Close,Volume
2021-08-18,101.080002,103.470001,100.760002,101.410004,101.331207,6496500
2021-08-19,100.000000,100.820000,98.599998,99.419998,99.342751,10805700
2021-08-20,99.589996,100.669998,99.099998,100.050003,99.972267,6355700
2021-08-23,100.599998,101.480003,100.269997,100.970001,100.891548,6007400
2021-08-24,101.290001,103.510002,101.059998,103.269997,103.189758,6857700
2021-08-25,103.360001,105.129997,102.550003,104.699997,104.618645,7867100
2021-08-26,104.459999,104.620003,102.839996,103.379997,103.299667,8166500
2021-08-27,103.900002,106.150002,103.900002,106.089996,106.007561,7766400
2021-08-30,106.330002,106.459999,104.800003,105.190002,105.108269,7145700
2021-08-31,104.940002,106.360001,104.459999,105.410004,105.328102,10990800
2021-09-01,105.360001,105.470001,103.260002,103.660004,103.579460,7968100
2021-09-02,104.000000,106.339996,103.980003,106.260002,106.177437,8493700
2021-09-03,106.000000,107.360001,104.080002,104.750000,104.668610,7616900
2021-09-07,104.500000,104.940002,102.309998,103.290001,103.209747,10989500
2021-09-08,102.949997,104.730003,100.419998,102.580002,102.500298,12001300
2021-09-09,102.360001,104.919998,102.110001,103.290001,103.209747,9386500
2021-09-10,103.290001,103.949997,101.779999,102.000000,101.920746,9555200
2021-09-13,102.650002,104.860001,102.019997,104.459999,104.378830,12484200
2021-09-14,104.540001,104.550003,100.070000,100.379997,100.302002,16022600
2021-09-15,100.790001,102.470001,100.690002,102.160004,102.080627,8103700
2021-09-16,102.389999,102.699997,100.820000,101.339996,101.261253,5981900
2021-09-17,101.150002,101.860001,100.129997,100.470001,100.391937,10718000
2021-09-20,98.500000,99.870003,97.269997,99.809998,99.732445,10103800
2021-09-21,99.900002,99.989998,96.209999,96.820000,96.744766,15788600
2021-09-22,97.669998,99.029999,97.660004,98.540001,98.463432,11216100
2021-09-23,99.529999,104.080002,99.519997,102.959999,102.879997,11601100
2021-09-24,102.660004,104.199997,102.599998,103.800003,103.800003,6559500
2021-09-27,104.550003,106.330002,104.389999,105.349998,105.349998,8081500
2021-09-28,105.290001,106.750000,104.730003,105.730003,105.730003,12551700
2021-09-29,106.000000,107.000000,105.309998,106.279999,106.279999,7399200
2021-09-30,106.360001,107.089996,102.949997,103.029999,103.029999,8944200
2021-10-01,104.180000,106.389999,103.669998,105.820000,105.820000,8094500
2021-10-04,105.400002,107.080002,104.599998,104.900002,104.900002,7656200
2021-10-05,105.059998,106.000000,103.750000,104.900002,104.900002,5737200
2021-10-06,103.680000,104.419998,102.059998,104.330002,104.330002,7013900
2021-10-07,104.839996,106.529999,104.330002,105.510002,105.510002,6655600
